"Name","DisplayName","State","StartMode","PathName"
"Browser","Pesquisador de Computadores","Running","Manual","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"CDPUserSvc_371894","Servi?o de Usu?rio da Plataforma de Dispositivos Conectados_371894","Running","Auto","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"BthAvctpSvc","Servi?o AVCTP","Running","Manual","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Eaphost","Protocolo de Autentica??o Extens?vel","Running","Manual","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"hns","Servi?o de Rede Host","Running","Manual","C:\WINDOWS\system32\svchost.exe -k NetSvcs -p"
"HvHost","Servi?o de Host HV","Running","Manual","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"EventLog","Log de Eventos do Windows","Running","Auto","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DusmSvc","Uso de Dados","Running","Auto","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"gpsvc","Cliente da Pol?tica de Grupo","Running","Auto","C:\WINDOWS\system32\svchost.exe -k GPSvcGroup"
"WinHttpAutoProxySvc","Servi?o de Descoberta Autom?tica de Proxy da Web do WinHTTP","Running","Manual","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EFS","EFS (Encrypting File System)","Running","Manual","C:\WINDOWS\System32\lsass.exe"
"Winmgmt","Testador de instrumenta??o de gerenciam. do Windows","Running","Auto","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"hidserv","Servi?o de Dispositivos de Interface Humana","Running","Manual","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Running","Manual","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe"
"FoxitPhantomPDFUpdateService","Foxit PDF Editor Update Service","Running","Auto","""C:\Program Files (x86)\Foxit Software\Foxit PDF Editor\FoxitPDFEditorUpdateService.exe"""
"FontCache","Servi?o de Cache de Fontes do Windows","Running","Auto","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"igccservice","Intel(R) Graphics Command Center Service","Running","Auto","C:\WINDOWS\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_26b207b939eae50e\OneApp.IGCC.WinService.exe"
"EventSystem","COM+ evento do sistema","Running","Auto","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"DsSvc","Servi?o de Compartilhamento de Dados","Running","Manual","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WinRM","Windows Remote Management (WS-Management)","Running","Auto","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"FoxitReaderUpdateService","Foxit PDF Reader Update Service","Running","Auto","""C:\Program Files (x86)\Foxit Software\Foxit Reader\FoxitPDFReaderUpdateService.exe"""
"CredentialEnrollmentManagerUserSvc_371894","CredentialEnrollmentManagerUserSvc_371894","Stopped","Manual","C:\WINDOWS\system32\CredentialEnrollmentManager.exe"
"WebClient","Cliente da Web","Stopped","Disabled","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"WinDefend","Servi?o Microsoft Defender Antiv?rus","Stopped","Manual","""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1911.3-0\MsMpEng.exe"""
"ConsentUxUserSvc_371894","ConsentUX_371894","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k DevicesFlow"
"WdNisSvc","Servi?o de Inspe??o de Rede do Microsoft Defender Antiv?rus","Stopped","Manual","""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1911.3-0\NisSrv.exe"""
"wisvc","Servi?o do Windows Insider","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"TroubleshootingSvc","Servi?o de solu??o de problemas recomendado","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"WiaRpc","Eventos de Aquisi??o de Imagens Est?ticas","Stopped","Manual","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
